Sample,Question,Orig Tokens,Comp Tokens,Drop Rate (%),F1 Score,Exact Match,Orig Latency (s),Comp Latency (s),Original Answer,Compressed Answer
1,To whom did the Virgin Mary allegedly appear in 1858 in Lourdes France?,211,90,57.3%,0.92,1,22.80,1.87,"The Virgin Mary allegedly appeared to Saint Bernadette Soubirous in 1858 in Lourdes, France.","The Virgin Mary allegedly appeared to Saint Bernadette Soubirous in 1858 in Lourdes, France."
2,What is in front of the Notre Dame Main Building?,204,83,59.3%,0.51,0,2.20,2.04,"In front of the Notre Dame Main Building is a copper statue of Christ with arms upraised, accompanied by the legend ""Venite Ad Me Omnes.""","In front of the Notre Dame Main Building, there is a statue of the Virgin Mary."
3,The Basilica of the Sacred heart at Notre Dame is beside to which structure?,209,88,57.9%,0.38,0,1.09,2.17,The Basilica of the Sacred Heart is next to the Main Building.,"The Basilica of the Sacred Heart at Notre Dame is beside the Grotto, which is a replica of the Grotto at Lourdes."
4,What is the Grotto at Notre Dame?,203,82,59.6%,0.50,0,2.39,2.37,"The Grotto at Notre Dame is a Marian place of prayer and reflection. It is a replica of the grotto at Lourdes, France, where the Virgin","The Grotto at Notre Dame is a replica of the Grotto of Massabielle in Lourdes, France. It is located behind the Basilica of the"
5,What sits on top of the Main Building at Notre Dame?,205,84,59.0%,0.56,0,1.48,1.07,Atop the Main Building's gold dome at Notre Dame is a golden statue of the Virgin Mary.,A gold dome sits on top of the Main Building at Notre Dame.
6,When did the Scholastic Magazine of Notre dame begin publishing?,312,120,61.5%,0.95,0,1.27,1.14,The Scholastic magazine of Notre Dame began publishing in September 1876.,The Scholastic Magazine of Notre Dame began publishing in 1876.
7,How often is Notre Dame's the Juggler published?,311,119,61.7%,1.00,1,1.07,1.01,Notre Dame's The Juggler is published twice a year.,Notre Dame's The Juggler is published twice a year.
8,What is the daily student paper at Notre Dame called?,310,118,61.9%,1.00,1,1.00,0.94,The daily student paper at Notre Dame is called The Observer.,The daily student paper at Notre Dame is called The Observer.
9,How many student news papers are found at Notre Dame?,310,118,61.9%,0.83,0,1.72,1.33,"There are three student-run newspapers at Notre Dame. These are The Observer, Common Sense, and the Irish Rover.","There are three student newspapers at Notre Dame: The Observer, Common Sense, and Rover."
10,In what year did the student paper Common Sense begin publication at Notre Dame?,314,122,61.1%,0.80,0,1.01,1.13,Common Sense began publication at Notre Dame in 1987.,The student paper Common Sense began publication at Notre Dame in 2003.
